TU_RLTY_KID;Error;Error_text;KNum
5791930;0;;43:40:000735:1152
5791932;0;;43:40:000735:1154
5791904;0;;43:40:000735:1164
5791934;0;;43:40:000735:1155
5791936;0;;43:40:000735:1156
5791938;0;;43:40:000735:1157
5791940;0;;43:40:000735:1158
5791942;0;;43:40:000735:1159
5791944;0;;43:40:000735:1160
5791946;0;;43:40:000735:1161
5791948;0;;43:40:000735:1162
5791950;0;;43:40:000735:1163
5791952;0;;43:40:000735:1165
5791906;0;;43:40:000735:1175
5791954;0;;43:40:000735:1166
5791956;0;;43:40:000735:1167
5791958;0;;43:40:000735:1168
5791960;0;;43:40:000735:1169
5791962;0;;43:40:000735:1170
5791964;0;;43:40:000735:1171
5791966;0;;43:40:000735:1172
5791968;0;;43:40:000735:1173
5791970;0;;43:40:000735:1174
5791972;0;;43:40:000735:1176
5791908;0;;43:40:000735:1185
5791974;0;;43:40:000735:1177
5791976;0;;43:40:000735:1178
5791978;0;;43:40:000735:1179
5791980;0;;43:40:000735:1180
5791982;0;;43:40:000735:1181
5791910;0;;43:40:000735:1186
5791912;0;;43:40:000735:1187
5791896;0;;43:40:000735:1188
5791898;0;;43:40:000735:1189
5791900;0;;43:40:000735:1143
4344453;0;;43:40:000735:1000
5680932;0;;43:40:000735:1000
5702493;0;;43:40:000735:1000
5702505;0;;43:40:000735:964
5702523;0;;43:40:000735:973
5702525;0;;43:40:000735:974
5702527;0;;43:40:000735:975
5702529;0;;43:40:000735:976
5702531;0;;43:40:000735:977
5702533;0;;43:40:000735:978
5702535;0;;43:40:000735:979
5702537;0;;43:40:000735:980
5702539;0;;43:40:000735:981
5702541;0;;43:40:000735:982
5702507;0;;43:40:000735:965
5702543;0;;43:40:000735:983
5702545;0;;43:40:000735:984
5702547;0;;43:40:000735:985
5702549;0;;43:40:000735:986
5702551;0;;43:40:000735:987
5702553;0;;43:40:000735:988
5702555;0;;43:40:000735:989
5790034;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
5790036;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
