"TU_RLTY_KID";"Полный адрес";"Нас. пункт";"Тип нас.пункта";"Тип улицы";"Улица";"№ дома";"Строение";"Квартира/Помещение";"ФИАС дома"
"5790034";"г. Киров, пер. Вершининский, д. 3, кв. 123";"Киров";"г.";"пер.";"Вершининский";"3";"";"123";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5790036";"г. Киров, пер. Вершининский, д. 3, кв. 124";"Киров";"г.";"пер.";"Вершининский";"3";"";"124";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
